rows,Haworth,Shoemaker,Faustini,Amundsen,Cabeus,Cabeus B,de Gerlache,Hedervari,Idel'son L,Unnamed 1,Nobile,Scott,Scott E,Slater,Sverdrup,Wiechert P,Unnamed 2,Wiechert,Idel'son,Unnamed 3,Wiechert U,Wiechert J,Shackleton,Amundsen C
Haworth,0.0,68.77692007682111,58.185462916374355,59.704170785352964,100.49329092468308,59.8947828677922,57.528089855265655,61.24170001590781,60.72510496435315,59.74025206750798,58.36446137830331,59.94587916060062,60.36346479193525,58.19737651535603,58.39015595518503,60.46860907871689,59.30102682591528,61.21990740163175,62.220202727839954,58.20771923730221,61.49353242033254,60.480228425119485,57.503774197609076,61.87850016695938
Shoemaker,73.26344510275277,0.0,72.9785969090969,76.2898335551754,63.76266019523254,65.8287716613651,62.5247659851198,64.8814431936585,64.23035038437477,63.507346533544016,74.41380390319787,64.21354539757988,65.00216140031513,61.790513750243505,62.801518836390294,64.22445011275319,64.62513556194885,65.11207624710698,65.75471887861904,64.18263148606694,65.21083304908535,64.60621062708965,61.680326078504756,65.55715061826324
Faustini,62.92642297652957,100.44522728457636,0.0,151.98179177161882,64.88188076565453,66.88147026285428,63.294040131370465,63.95395571728297,63.10731401511351,62.88177333330011,103.2647375380271,64.1303409291553,65.20289114348907,61.34385809007839,63.08586386696402,63.5089605711976,65.36107831033664,64.52091115088916,64.64557667501508,65.27944083118906,64.38205331506374,64.33181383185028,62.1622179789002,64.66086871418925
Shackleton,111.85473144706033,110.67240258137328,109.70896385171915,0.0,113.78749102157794,115.74097624780921,112.50556037535549,141.4124464584678,110.21262057585687,173.6871072355603,119.22294012796314,121.30387310088257,112.11930919520393,110.52839240463919,112.25443111772823,111.78043875340681,113.14526094467763,112.81448048254933,110.98415647927737,113.85926939185278,112.24817104817338,113.03918832126527,111.4267840104686,110.25136387153204
Amundsen,102.56342340918911,103.75645214260682,104.809150744096,106.2590561274988,135.88406474467604,0.0,102.65524338625943,107.65124494001425,106.98297035672879,106.22224988384667,104.9259172433386,105.99277892900767,105.8369485476822,104.55095317842651,103.6791703890399,106.17665130122079,103.8024388044393,106.54244917025682,108.45971577695438,101.15483871221531,107.16705837496689,105.46066999512992,103.59514541144364,108.2229516130883
Sverdrup,81.23289015604172,81.48860622574065,82.2578803719913,84.05980001442417,93.67647127518049,83.69140314563855,0.0,85.61075316753089,84.2374179163684,84.44927869314655,83.33574389146673,85.09784875550156,85.68673671158352,81.6329415011698,80.53290843006687,83.23698067061667,84.73544833058394,83.74904784495148,85.92640009481302,83.15842144213379,84.33008488809607,82.72911575656123,80.54399989108656,86.2727766004019
Cabeus B,84.42990526512921,83.19419062499554,82.07115425573431,121.20468769569472,86.18826194089661,88.01913011610792,84.2374179163684,82.37803035570674,0.0,82.81243026824929,83.28505916612798,84.57434235640223,85.86057367928647,82.14605659002318,83.48261907164475,81.58774895239644,86.5786901672575,82.5202406693386,81.26238837718697,86.68132771936028,81.63079862937676,83.23463693941044,83.17958098631489,82.93472801831393
de Gerlache,72.61303613565072,72.28343895670069,72.56778398727437,74.32675063648666,73.59563465426993,75.23341002810866,71.05098830975636,75.82372861740112,74.00069895133436,74.92425661185241,74.05655527028264,75.88900251179693,76.66535699349157,71.68832261849667,0.0,72.68786440649481,76.0393870005593,73.15425579154005,75.75254782971696,74.73799545613811,73.80101923043969,72.13230456746031,71.00118722399007,76.48912527762596
Idel'son L,84.18502872589553,83.57005086771044,83.29565407247111,84.593427960334,85.12104966983956,86.49682975450904,82.72911575656123,85.78757903340505,83.23463693941044,85.43210376488385,84.98878858672848,86.7291289784738,87.67495349133424,82.42997959603021,81.61422468777074,81.09893690038301,87.38008754929758,80.74525312881086,84.84433450367933,86.25538358226682,81.86433747166122,0.0,82.47619017092177,86.39008199950268
Wiechert J,81.20857449838509,91.09911324086515,81.12605821952104,82.9810236495373,82.72019832127742,84.63130517082281,80.54399989108656,84.56191670377463,83.17958098631489,83.46999668024338,82.48616012838892,84.35750508335714,85.1426861851421,80.4561593181807,80.4831073443004,82.47572389502689,84.60112604500459,83.21210955882698,84.88835168722005,83.60223442547341,83.57173876627479,82.47619017092177,0.0,85.24229655045058
