Crater Name,Lat (°),Lon (°),Diam (km),Age (Ga),Error (- Ga),Error (+ Ga)
Haworth,-87.5,354.8,51.4,4.18,0.02,0.02
Shoemaker,-88.1,45.9,51.8,4.15,0.02,0.02
Faustini,-87.2,84.3,42.5,4.1,0.03,0.03
Amundsen,-84.4,83.1,103.4,3.9,0.1,0.1
Cabeus,-85.3,317.9,100.6,3.88,0.1,0.1
Cabeus B,-82.3,305.4,59.6,3.9,0.1,0.1
de Gerlache,-88.5,271.7,32.7,3.9,0.1,0.1
Hedervari,-81.9,85.6,74.1,3.9,0.1,0.1
Idel'son L,-84,118.6,28,3.9,0.1,0.1
Unnamed 1,-83.7,69.2,57.7,3.9,0.1,0.1
Nobile,-85.3,53.3,79.3,3.8,0.1,0.1
Scott,-82.4,48.5,107.8,3.8,0.1,0.1
Scott E,-81.2,35.7,29.2,3.8,0.1,0.1
Slater,-88.1,111.3,25.1,3.8,0.1,0.1
Sverdrup,-88.3,206.6,32.8,3.8,0.1,0.1
Wiechert P,-85.1,151.8,38.6,3.8,0.1,0.1
Unnamed 2,-82.2,10.6,26.8,3.7,0.1,0.1
Wiechert,-84,164.7,40.8,3.7,0.2,0.1
Idel'son,-81.3,112.7,59.8,3.5,0.5,0.1
Unnamed 3,-83.9,338.3,22.3,3.4,0.5,0.1
Wiechert U,-83.4,149,30,3.4,0.7,0.1
Wiechert J,-85.2,182.4,34.9,3.2,0.1,0.3
Shackleton,-89.7,129.8,20.9,3.15,0.08,0.05
Amundsen C,-80.8,85.2,24.2,1.8,0.2,0.2
