Costello, Emily S., Rebecca R. Ghent, and Paul G. Lucey. "The mixing of lunar regolith: Vital updates to a canonical model." Icarus 314 (2018): 327-344. https://doi.org/10.1016/j.icarus.2018.05.023
n,0.1,0.5,0.99
1.000E+00,1.050E-01,6.930E-01,4.605E+00
2.000E+00,5.300E-01,1.678E+00,6.638E+00
3.000E+00,1.102E+00,2.674E+00,8.406E+00
4.000E+00,1.742E+00,3.672E+00,1.005E+01
6.000E+00,3.150E+00,5.670E+00,1.311E+01
8.000E+00,4.655E+00,7.670E+00,1.600E+01
1.000E+01,6.221E+00,9.670E+00,1.887E+01
2.000E+01,1.453E+01,1.967E+01,3.185E+01
3.000E+01,2.333E+01,2.967E+01,4.419E+01
4.000E+01,3.211E+01,3.967E+01,5.616E+01
1.000E+02,8.742E+01,9.967E+01,1.247E+02
3.000E+02,2.780E+02,2.997E+02,3.418E+02
1.000E+03,9.596E+02,9.997E+02,1.075E+03
3.000E+03,2.930E+03,3.000E+03,3.129E+03
1.000E+04,9.872E+03,1.000E+04,1.023E+04
3.000E+04,2.978E+04,3.000E+04,3.041E+04
1.000E+05,9.959E+04,1.000E+05,1.007E+05
3.000E+05,2.993E+05,3.000E+05,3.013E+05
1.000E+06,9.969E+05,1.000E+06,1.002E+06
