lithology,name,distance,ejecta_thickness,thickness_mass,tan_phi,ballistic_speed,kinetic_energy,kinetic_e_km,age_min,depth,age
8,ice_regolith,,,,,0,0,0,0,0,0
8,ice_regolith,,,,,0,0,0,0,40,2.9
1,ice,,,,,0,,0,0,40,2.9
1,ice,,,,,0,,0,0,64.49,3.7
7,scott,196354,9.18,137700,0.056521013,549.3812323,20780288992,20780.28899,,64.49,3.7
7,scott,196354,9.18,137700,0.056521013,549.3812323,20780288992,20780.28899,,73.67,3.8
6,nobile,124860,11.33,169950,0.035941278,442.4224012,16632800956,16632.80096,,73.67,3.8
6,nobile,124860,11.33,169950,0.035941278,442.4224012,16632800956,16632.80096,,85,3.8
1,ice,,,,,0,,0,,85,3.8
1,ice,,,,,0,,0,,87.471,3.85
4,schrodinger,526053,27.95,419250,0.151425734,861.3701097,1.56E+11,155533.0434,,87.471,3.85
4,schrodinger,526053,27.95,419250,0.151425734,861.3701097,1.56E+11,155533.0434,,115.421,3.9
5,cabeus,87713,79.579,1193685,0.025248417,372.7438111,82924072668,82924.07267,,115.421,3.98
5,cabeus,87713,79.579,1193685,0.025248417,372.7438111,82924072668,82924.07267,,195,4
1,ice,,,,,0,,0,,195,4
1,ice,,,,,0,,0,,222.95,4.01
3,amundsen,188599,8.87,133050,0.054288716,538.9927531,19326389824,19326.38982,,222.95,4.01
3,amundsen,188599,8.87,133050,0.054288716,538.9927531,19326389824,19326.38982,,224.08,4.05
1,ice,,,,,0,,0,,224.08,4.05
1,ice,,,,,0,,0,,232.95,4.07
2,shoemaker,58893,21.96,329400,0.016952504,306.6722759,15489686629,15489.68663,,232.95,4.07
2,shoemaker,58893,21.96,329400,0.016952504,306.6722759,15489686629,15489.68663,,255.99,4.13
1,ice,,,,,0,,0,0,255.99,4.13
1,ice,,,,,0,,0,0,277.95,4.17
