moonpies,moonpies,moonpies,moonpies,moonpies,moonpies,moonpies,moonpies,moonpies,moonpies,moonpies,moonpies,no_bsed,no_bsed,no_bsed,no_bsed,no_bsed,no_bsed,no_bsed,no_bsed,no_bsed,no_bsed,no_bsed,no_bsed
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Faustini,Haworth,Shoemaker,Cabeus B,Idel'son L,Amundsen,Cabeus,de Gerlache,Slater,Sverdrup,Wiechert J,Shackleton,Faustini,Haworth,Shoemaker,Cabeus B,Idel'son L,Amundsen,Cabeus,de Gerlache,Slater,Sverdrup,Wiechert J,Shackleton
1.3794499151083757,1.8315608522730273,0.507399157023855,2.227881213388227,0.4603227973803088,1.0830291220522803,2.44134495854034,0.9429034805047231,1.8333628022761537,0.7671878457099274,,,1.3794499151083757,1.8315608522730273,0.507399157023855,2.227881213388227,0.4603227973803088,1.0830291220522803,2.44134495854034,0.9429034805047231,1.8333628022761537,0.7671878457099274,,
1.8569431171563224,1.242332781125972,0.6488224918932757,0.6563755105825598,3.182131005405013,4.381041107954581,,,,,,,2.987396382868475,1.242332781125972,0.9841429927543167,0.8447052653454595,3.182131005405013,4.381041107954581,,,,,,
10.499505684011018,6.415849393572561,3.4001987419871296,,3.2921447724335775,3.293086603712076,,,,,,,12.379215677665925,7.839046313306354,4.139440071272714,,3.9244961094159176,3.293086603712076,,,,,,
4.180777609014037,0.1952517196101745,0.5644026393942445,,1.9027671422515762,8.932035896678773,,,,,,,5.317574912588025,0.24213370843158102,0.7345527089199521,,1.9027671422515762,10.495454407519139,,,,,,
4.5650184308232395,2.6109728438265773,1.8826537462318056,,0.07808774518718854,0.1846520962163387,,,,,,,5.4469459635979876,4.4406845530140515,2.2998186857733667,,2.2974466939006972,0.22068293437923572,,,,,,
0.1767396192967798,1.000497122907151,0.27705635770221687,,,3.240499536954845,,,,,,,1.0472068288659084,4.283130039914786,1.1558699559446668,,100.0,3.240499536954845,,,,,,
,2.636284113236083,1.3089635357659568,,,,,,,,,,100.0,100.0,6.0093511742076196,,,,,,,,,
,4.1582784352524875,1.3112127534652966,,,,,,,,,,,7.903308096130307,7.546042084484017,,,,,,,,,
,1.1983898151398515,2.455652617836835,,,,,,,,,,,15.00977450086118,11.896960936325637,,,,,,,,,
,3.032839662514082,,,,,,,,,,,,100.0,,,,,,,,,,
,,,,,,,,,,,,,6.919877376030648,,,,,,,,,,
,,,,,,,,,,,,,13.383463896444317,,,,,,,,,,
